机构名称,表中文名,字段中文（可忽略）
自然资源,采矿转让登记信息,地理位置
自然资源,采矿转让登记信息,法定代表人
自然资源,采矿转让登记信息,划定矿区范围
自然资源,采矿转让登记信息,经济类型词表
自然资源,采矿转让登记信息,矿区编码
自然资源,采矿转让登记信息,矿区面积
自然资源,采矿转让登记信息,矿山名称
自然资源,采矿转让登记信息,签发时间
自然资源,采矿转让登记信息,受让人
自然资源,采矿转让登记信息,受让人电话
自然资源,采矿转让登记信息,受让人法定代表人
自然资源,采矿转让登记信息,受让人经济类型词表
自然资源,采矿转让登记信息,受让人开户银行
自然资源,采矿转让登记信息,受让人邮编
自然资源,采矿转让登记信息,受让人帐号
自然资源,采矿转让登记信息,许可证号
自然资源,采矿转让登记信息,项目类型
自然资源,采矿转让登记信息,项目审批机关
自然资源,采矿转让登记信息,预期建矿时间
自然资源,采矿转让登记信息,预期开采规模
自然资源,采矿转让登记信息,原许可证号
自然资源,采矿转让登记信息,原项目审批机关
自然资源,采矿转让登记信息,有效期起
自然资源,采矿转让登记信息,有效期限
自然资源,采矿转让登记信息,有效期止
自然资源,采矿转让登记信息,准备投资规模
自然资源,采矿转让登记信息,资金条件
自然资源,采矿转让登记信息,转让价格(万元)
自然资源,采矿转让登记信息,转让申请人即采矿权人
自然资源,采矿转让登记信息,申请人身份证号
自然资源,采矿转让登记信息,采矿权转让标识
自然资源,不动产查封信息,不动产权证号
自然资源,不动产查封信息,被查封单位
自然资源,不动产查封信息,查封标识码
自然资源,不动产查封信息,查封机关
自然资源,不动产查封信息,查封文号
自然资源,不动产查封信息,登记机构
自然资源,不动产查封信息,查封日期
自然资源,不动产查封信息,权利人姓名
自然资源,不动产查封信息,权利人身份证号码
自然资源,不动产查封信息,解封日期
自然资源,不动产查封信息,权利表名
自然资源,不动产查封信息,权利标识码
自然资源,不动产查封信息,查封坐落
自然资源,不动产查封信息,状态
自然资源,不动产查封信息,行政区编码
自然资源,不动产抵押信息,被担保债权数额
自然资源,不动产抵押信息,不动产登记证明号
自然资源,不动产抵押信息,登记机构
自然资源,不动产抵押信息,抵押登记日期
自然资源,不动产抵押信息,抵押方式
自然资源,不动产抵押信息,抵押期限
自然资源,不动产抵押信息,抵押顺序
自然资源,不动产抵押信息,权利表名
自然资源,不动产抵押信息,权利标识码
自然资源,不动产抵押信息,抵押权人名称
自然资源,不动产抵押信息,抵押权人身份证号
自然资源,不动产抵押信息,抵押人名称
自然资源,不动产抵押信息,抵押人身份证号
自然资源,不动产抵押信息,最高债权数额
自然资源,不动产抵押信息,状态
自然资源,不动产抵押信息,抵押注销时间
自然资源,不动产抵押信息,抵押标识码
自然资源,不动产抵押信息,行政区编码
自然资源,海域使用权信息,不动产单元号
自然资源,海域使用权信息,不动产权字号
自然资源,海域使用权信息,登簿时间
自然资源,海域使用权信息,登记机构
自然资源,海域使用权信息,共有情况
自然资源,海域使用权信息,面积
自然资源,海域使用权信息,权利表名
自然资源,海域使用权信息,权利标识码
自然资源,海域使用权信息,权利类型
自然资源,海域使用权信息,权利其他状况
自然资源,海域使用权信息,权利人姓名
自然资源,海域使用权信息,权利性质
自然资源,海域使用权信息,省编号
自然资源,海域使用权信息,使用期限
自然资源,海域使用权信息,缮证时间
自然资源,海域使用权信息,用途
自然资源,海域使用权信息,权利人身份证号码
自然资源,海域使用权信息,坐落
自然资源,海域使用权信息,证书状态
自然资源,海域使用权信息,行政区编码
自然资源,水域滩涂养殖证信息,地区名称
自然资源,水域滩涂养殖证信息,发证机关
自然资源,水域滩涂养殖证信息,个人姓名
自然资源,水域滩涂养殖证信息,个人联系方式
自然资源,水域滩涂养殖证信息,签发日期
自然资源,水域滩涂养殖证信息,企业法人名称
自然资源,水域滩涂养殖证信息,企业联系方式
自然资源,水域滩涂养殖证信息,企业名称
自然资源,水域滩涂养殖证信息,个人身份证号码
自然资源,水域滩涂养殖证信息,省
自然资源,水域滩涂养殖证信息,市
自然资源,水域滩涂养殖证信息,区县
自然资源,水域滩涂养殖证信息,乡镇
自然资源,水域滩涂养殖证信息,村
自然资源,水域滩涂养殖证信息,水域滩涂类型
自然资源,水域滩涂养殖证信息,水域滩涂面积
自然资源,水域滩涂养殖证信息,水域滩涂养殖证编号
自然资源,水域滩涂养殖证信息,所有制性质
自然资源,水域滩涂养殖证信息,延期后有效期结束时间
自然资源,水域滩涂养殖证信息,延期后有效期开始时间
自然资源,水域滩涂养殖证信息,有效期结束日期
自然资源,水域滩涂养殖证信息,有效期开始日期
自然资源,水域滩涂养殖证信息,养殖证所属地
自然资源,水域滩涂养殖证信息,养殖方式
自然资源,水域滩涂养殖证信息,注销时间
自然资源,水域滩涂养殖证信息,注销原因
自然资源,采矿许可证,发证机关
自然资源,采矿许可证,颁证时间
自然资源,采矿许可证,地址
自然资源,采矿许可证,经济类型
自然资源,采矿许可证,开采方式
自然资源,采矿许可证,开采矿种
自然资源,采矿许可证,开采深度
自然资源,采矿许可证,矿区范围
自然资源,采矿许可证,矿区面积
自然资源,采矿许可证,矿山名称
自然资源,采矿许可证,采矿权人
自然资源,采矿许可证,身份证号码
自然资源,采矿许可证,生成规模
自然资源,采矿许可证,统一社会信用代码
自然资源,采矿许可证,行政区划
自然资源,采矿许可证,有效期止
自然资源,采矿许可证,有效期起
自然资源,采矿许可证,状态
自然资源,采矿许可证,许可证号
自然资源,矿产资源勘查许可证,发证机关
自然资源,矿产资源勘查许可证,颁证时间
自然资源,矿产资源勘查许可证,地理位置
自然资源,矿产资源勘查许可证,勘查单位地址
自然资源,矿产资源勘查许可证,勘查面积
自然资源,矿产资源勘查许可证,勘查项目名称
自然资源,矿产资源勘查许可证,探矿权人
自然资源,矿产资源勘查许可证,身份证号码
自然资源,矿产资源勘查许可证,探矿权人地址
自然资源,矿产资源勘查许可证,行政区划
自然资源,矿产资源勘查许可证,有效期止
自然资源,矿产资源勘查许可证,有效期起
自然资源,矿产资源勘查许可证,状态
自然资源,矿产资源勘查许可证,许可证号
住建,二手房交易合同信息,不动产单元号
住建,二手房交易合同信息,房屋用途或预售用途
住建,二手房交易合同信息,房屋坐落
住建,二手房交易合同信息,合同备案时间
住建,二手房交易合同信息,合同编号
住建,二手房交易合同信息,合同购房金额或交易价格
住建,二手房交易合同信息,经纪机构名称
住建,二手房交易合同信息,房屋建筑面积
住建,二手房交易合同信息,房屋买受人
住建,二手房交易合同信息,房屋买受人证件号码
住建,二手房交易合同信息,房屋买受人证件类型
住建,二手房交易合同信息,所在城市
住建,二手房交易合同信息,所在区县市
住建,二手房交易合同信息,房屋出卖人
住建,二手房交易合同信息,房屋出卖人证件号码
住建,二手房交易合同信息,房屋出卖人证件类型
住建,房产交易合同信息,首付款
住建,房产交易合同信息,托管状态（0托管1非托管2托管取消）
住建,房产交易合同信息,买受人类型（1自然人、2机构）
住建,房产交易合同信息,房屋用途
住建,房产交易合同信息,所在行政区域
住建,房产交易合同信息,幢号
住建,房产交易合同信息,预销售证编号
住建,房产交易合同信息,销售方式
住建,房产交易合同信息,买受人身份证
住建,房产交易合同信息,首付款百分比
住建,房产交易合同信息,付款方式
住建,房产交易合同信息,面积
住建,房产交易合同信息,总价
住建,房产交易合同信息,户坐落
住建,房产交易合同信息,户号
住建,房产交易合同信息,联系手机
住建,房产交易合同信息,买受人姓名
住建,房产交易合同信息,出卖人（公司名称）
住建,房产交易合同信息,备案号
住建,房产交易合同信息,合同编号
住建,房产交易合同信息,状态
住建,房产交易合同信息,注销完成时间
住建,房产交易合同信息,备案完成时间
住建,房产交易合同信息,签订完成时间
住建,商品房预(销)售合同信息,房屋用途(预售用途)
住建,商品房预(销)售合同信息,房屋坐落
住建,商品房预(销)售合同信息,合同备案时间
住建,商品房预(销)售合同信息,合同编号
住建,商品房预(销)售合同信息,合同购房金额（交易价格）(万元)
住建,商品房预(销)售合同信息,房屋建筑面积(平方米)
住建,商品房预(销)售合同信息,开发企业名称
住建,商品房预(销)售合同信息,开发企业统一编号
住建,商品房预(销)售合同信息,房屋买受人
住建,商品房预(销)售合同信息,房屋买受人证件号码
住建,商品房预(销)售合同信息,房屋买受人证件类型
住建,商品房预(销)售合同信息,所在城市
住建,商品房预(销)售合同信息,所在区县
自然资源,房屋基本信息,不动产单元号
自然资源,房屋基本信息,登记机构
自然资源,房屋基本信息,单元标识码
自然资源,房屋基本信息,房屋性质
自然资源,房屋基本信息,房屋用途
自然资源,房屋基本信息,房屋结构
自然资源,房屋基本信息,建筑年份
自然资源,房屋基本信息,建筑面积
自然资源,房屋基本信息,权利表名
自然资源,房屋基本信息,权利标识码
自然资源,房屋基本信息,所在楼层
自然资源,房屋基本信息,幢总层数
自然资源,房屋基本信息,坐落
自然资源,不动产权利人信息,登记机构
自然资源,不动产权利人信息,联系电话
自然资源,不动产权利人信息,权利表名
自然资源,不动产权利人信息,权利标识码
自然资源,不动产权利人信息,权利人名称
自然资源,不动产权利人信息,权利人证件号
自然资源,不动产权利人信息,权利人证件种类
自然资源,不动产权利人信息,不动产单元号
自然资源,不动产权利人信息,序号
自然资源,不动产产权信息,不动产单元号
自然资源,不动产产权信息,不动产权证号
自然资源,不动产产权信息,登簿时间
自然资源,不动产产权信息,登记机构
自然资源,不动产产权信息,共有情况
自然资源,不动产产权信息,权利表名
自然资源,不动产产权信息,权利标识码
自然资源,不动产产权信息,权利类型
自然资源,不动产产权信息,权利其他状况
自然资源,不动产产权信息,权利人
自然资源,不动产产权信息,权利人身份证号码
自然资源,不动产产权信息,权利人类型
自然资源,不动产产权信息,权利性质
自然资源,不动产产权信息,权利比例
自然资源,不动产产权信息,使用期限
自然资源,不动产产权信息,缮证时间
自然资源,不动产产权信息,房屋坐落
自然资源,不动产产权信息,房屋性质
自然资源,不动产产权信息,房屋规划用途
自然资源,不动产产权信息,房屋建筑面积
自然资源,不动产产权信息,套内建筑面积
自然资源,不动产产权信息,所在建筑物总层数
自然资源,不动产产权信息,状态
自然资源,不动产产权信息,所有权注销（变更）时间
自然资源,不动产产权信息,省编号
自然资源,不动产产权信息,行政区编码
公安,机动车行驶证信息,车辆类型名称
公安,机动车行驶证信息,中文品牌
公安,机动车行驶证信息,车辆识别代号
公安,机动车行驶证信息,车辆型号
公安,机动车行驶证信息,车外廓长
公安,机动车行驶证信息,车外廓高
公安,机动车行驶证信息,车外廓宽
公安,机动车行驶证信息,发动机号
公安,机动车行驶证信息,发证机关名称
公安,机动车行驶证信息,发证日期
公安,机动车行驶证信息,核定载人数
公安,机动车行驶证信息,核定载质量
公安,机动车行驶证信息,身份证明号码
公安,机动车行驶证信息,身份证明名称
公安,机动车行驶证信息,所有人
公安,机动车行驶证信息,使用性质
公安,机动车行驶证信息,使用性质说明
公安,机动车行驶证信息,检验有效期止
公安,机动车行驶证信息,整备质量
公安,机动车行驶证信息,准牵引总质量
公安,机动车行驶证信息,状态
公安,机动车行驶证信息,总质量
公安,机动车行驶证信息,号牌号码
公安,机动车行驶证信息,号牌种类
农业农村,拖拉机和联合收割机行驶证信息,发证时间
农业农村,拖拉机和联合收割机行驶证信息,注册登记时间
农业农村,拖拉机和联合收割机行驶证信息,牌照有效期限
农业农村,拖拉机和联合收割机行驶证信息,登记证书编号
农业农村,拖拉机和联合收割机行驶证信息,车辆型号
农业农村,拖拉机和联合收割机行驶证信息,拖拉机最小使用质量
农业农村,拖拉机和联合收割机行驶证信息,联合收割机质量
农业农村,拖拉机和联合收割机行驶证信息,拖拉机最大允许载质量
农业农村,拖拉机和联合收割机行驶证信息,准乘人数
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-长
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-宽
农业农村,拖拉机和联合收割机行驶证信息,外廓尺寸-高
农业农村,拖拉机和联合收割机行驶证信息,是否临牌
农业农村,拖拉机和联合收割机行驶证信息,身份证号
农业农村,拖拉机和联合收割机行驶证信息,车牌号码
农业农村,拖拉机和联合收割机行驶证信息,所属地区
农业农村,拖拉机和联合收割机行驶证信息,机身颜色
农业农村,拖拉机和联合收割机行驶证信息,车辆照片
农业农村,拖拉机和联合收割机行驶证信息,生产企业名称
农业农村,拖拉机和联合收割机行驶证信息,发证机关
农业农村,拖拉机和联合收割机行驶证信息,车辆类型
农业农村,拖拉机和联合收割机行驶证信息,状态
农业农村,拖拉机和联合收割机行驶证信息,所有人
农业农村,拖拉机和联合收割机行驶证信息,底盘机架号
农业农村,拖拉机和联合收割机行驶证信息,挂车架号码
农业农村,拖拉机和联合收割机行驶证信息,发动机号码
农业农村,拖拉机和联合收割机行驶证信息,车辆品牌
农业农村,拖拉机和联合收割机行驶证信息,状态
农业农村,拖拉机和联合收割机年检信息,年检时间
农业农村,拖拉机和联合收割机年检信息,有效截止日期
农业农村,拖拉机和联合收割机年检信息,保险生效日期
农业农村,拖拉机和联合收割机年检信息,保险截止日期
农业农村,拖拉机和联合收割机年检信息,车牌号码
农业农村,拖拉机和联合收割机年检信息,年检单位
农业农村,拖拉机和联合收割机年检信息,登记证书编号
农业农村,拖拉机和联合收割机年检信息,机主姓名
农业农村,拖拉机和联合收割机年检信息,证件类型
农业农村,拖拉机和联合收割机年检信息,证件号码
农业农村,拖拉机和联合收割机年检信息,车辆类型
农业农村,拖拉机和联合收割机年检信息,状态
公安,户籍人口基本信息,兵役状况
公安,户籍人口基本信息,出生地国家（地区）
公安,户籍人口基本信息,出生地省市县（区）
公安,户籍人口基本信息,出生日期
公安,户籍人口基本信息,出生证明编号
公安,户籍人口基本信息,城乡属性
公安,户籍人口基本信息,曾用名
公安,户籍人口基本信息,服务处所
公安,户籍人口基本信息,公民身份号码
公安,户籍人口基本信息,婚姻状况
公安,户籍人口基本信息,籍贯国家（地区）
公安,户籍人口基本信息,籍贯省市县（区）
公安,户籍人口基本信息,籍贯详址
公安,户籍人口基本信息,街路巷代码
公安,户籍人口基本信息,所属街路巷名称
公安,户籍人口基本信息,居委会代码
公安,户籍人口基本信息,所属居民委会名称
公安,户籍人口基本信息,居住地地址编码
公安,户籍人口基本信息,居住地省市县（区）
公安,户籍人口基本信息,居住地详细地址
公安,户籍人口基本信息,联系电话
公安,户籍人口基本信息,门楼详址
公安,户籍人口基本信息,民族
公安,户籍人口基本信息,所属派出所名称
公安,户籍人口基本信息,所属省市县区
公安,户籍人口基本信息,所属乡镇（街道）
公安,户籍人口基本信息,死亡日期
公安,户籍人口基本信息,死亡原因
公安,户籍人口基本信息,死亡注销类别
公安,户籍人口基本信息,文化程度
公安,户籍人口基本信息,性别
公安,户籍人口基本信息,所属县级公安机关名称
公安,户籍人口基本信息,姓名
公安,户籍人口基本信息,乡镇街道代码
公安,户籍人口基本信息,宗教信仰
公安,户籍人口基本信息,注销标识
公安,户籍人口基本信息,注销日期
公安,户籍人口基本信息,职业
公安,户籍人口基本信息,住址
公安,户籍人口基本信息,相片URL
公安,户信息,姓名
公安,户信息,公民身份证号
公安,户信息,户号
公安,户信息,与户主关系
公安,户信息,户主姓名
公安,户信息,户主公民身份号码
公安,户信息,户别
公安,户信息,户类型
公安,户口迁移信息,姓名
公安,户口迁移信息,公民身份证号
公安,户口迁移信息,户号
公安,户口迁移信息,何国家（地区）来本址
公安,户口迁移信息,何省市县（区）来本址
公安,户口迁移信息,何详址来本址
公安,户口迁移信息,何地迁来本市国家（地区）
公安,户口迁移信息,何地迁来本市省市县（区）
公安,户口迁移信息,何地迁来本市详址
公安,户口迁移信息,户籍地省市县（区）
公安,户口迁移信息,户籍地详细地址
公安,户口迁移信息,何迁移流动原因迁来
公安,户口迁移信息,何迁移流动原因迁来本址
公安,户口迁移信息,何时迁来本市
公安,户口迁移信息,何时来本址
公安,户口迁移信息,何因迁来本市
公安,户口迁移信息,何因来本址
公安,户口迁移信息,迁出迁移（流动）原因
公安,户口迁移信息,迁出日期
公安,户口迁移信息,迁出注销类别
公安,户口迁移信息,前往国家（地区）
公安,户口迁移信息,迁往地省市县（区）
公安,户口迁移信息,迁往地详址
公安,流动人口基本信息,登记日期
公安,流动人口基本信息,公民身份号码
公安,流动人口基本信息,户籍地
公安,流动人口基本信息,户籍门(楼)详址
公安,流动人口基本信息,婚姻状况
公安,流动人口基本信息,籍贯
公安,流动人口基本信息,流入原因
公安,流动人口基本信息,联系方式
公安,流动人口基本信息,民族
公安,流动人口基本信息,是否婚育证明(0否1是)
公安,流动人口基本信息,性别
公安,流动人口基本信息,学历
公安,流动人口基本信息,姓名
公安,流动人口基本信息,已居住时限
公安,流动人口基本信息,宗教信仰
公安,流动人口基本信息,职业类别
公安,流动人口基本信息,政治面貌
公安,流动人口基本信息,经济来源
公安,流动人口基本信息,现住门(楼)详址
公安,居住证信息,登记日期
公安,居住证信息,街路巷
公安,居住证信息,派出所
公安,居住证信息,县（市、区）
公安,居住证信息,居住地址
公安,居住证信息,居住证号
公安,居住证信息,初次签发日期
公安,居住证信息,发证地公安机关
公安,居住证信息,发证地公安机关代码
公安,居住证信息,发证日期
公安,居住证信息,户口省县
公安,居住证信息,民族
公安,居住证信息,签注到期日期
公安,居住证信息,签注日期
公安,居住证信息,公民身份号码
公安,居住证信息,性别
公安,居住证信息,姓名
公安,居住证信息,证件状态
公安,居住证信息,注销日期
公安,居住证信息,注销原因
公安,居住证信息,居住证内部编号
公安,边防通行证申请信息,住址
公安,边防通行证申请信息,出生日期
公安,边防通行证申请信息,证件类型
公安,边防通行证申请信息,通行证号码
公安,边防通行证申请信息,收缴时间
公安,边防通行证申请信息,委托人姓名
公安,边防通行证申请信息,委托人身份证号
公安,边防通行证申请信息,所属部门
公安,边防通行证申请信息,发证机关名称
公安,边防通行证申请信息,销毁时间
公安,边防通行证申请信息,截止日期
公安,边防通行证申请信息,发放时间
公安,边防通行证申请信息,填发时间
公安,边防通行证申请信息,身份证号
公安,边防通行证申请信息,单位标识
公安,边防通行证申请信息,姓名
公安,边防通行证申请信息,前往地点
公安,边防通行证申请信息,事由
公安,边防通行证申请信息,发送时间
公安,边防通行证申请信息,性别
公安,边防通行证申请信息,签发地
公安,边防通行证申请信息,签发时间
公安,边防通行证申请信息,起始日期
公安,边防通行证申请信息,状态标识
公安,出入境证件信息,出境原因
公安,出入境证件信息,出生地
公安,出入境证件信息,出生日期
公安,出入境证件信息,国籍
公安,出入境证件信息,民族
公安,出入境证件信息,是否过期
公安,出入境证件信息,证件号码
公安,出入境证件信息,审批机关
公安,出入境证件信息,性别
公安,出入境证件信息,英文名
公安,出入境证件信息,护照号码
公安,出入境证件信息,证件签发日期
公安,出入境证件信息,证件有效期
公安,出入境证件信息,护照类型
公安,出入境证件信息,中文名
外办,归侨证信息,出生年月
外办,归侨证信息,发证时间
外办,归侨证信息,回国时间
外办,归侨证信息,家庭住址
外办,归侨证信息,联系电话
外办,归侨证信息,侨居国
外办,归侨证信息,所属单位
外办,归侨证信息,性别
外办,归侨证信息,姓名
外办,归侨证信息,状态
外办,归侨证信息,归侨证编号
外办,归侨证申领登记信息,出生年月
外办,归侨证申领登记信息,电话
外办,归侨证申领登记信息,归国后本人简历
外办,归侨证申领登记信息,归国前本人简历
外办,归侨证申领登记信息,国内家庭主要成员
外办,归侨证申领登记信息,国外实际居住时间
外办,归侨证申领登记信息,工作单位及职务职称
外办,归侨证申领登记信息,何时回国
外办,归侨证申领登记信息,何时加入何党派
外办,归侨证申领登记信息,籍贯
外办,归侨证申领登记信息,家庭地址
外办,归侨证申领登记信息,民族
外办,归侨证申领登记信息,文化程度
外办,归侨证申领登记信息,性别
外办,归侨证申领登记信息,姓名
外办,归侨证申领登记信息,原侨居国（地）
外办,华侨回国定居备案信息,出入境证件类别及号码
外办,华侨回国定居备案信息,出生日期
外办,华侨回国定居备案信息,国内电话
外办,华侨回国定居备案信息,拟定居地
外办,华侨回国定居备案信息,批准日期
外办,华侨回国定居备案信息,姓名
外办,华侨回国定居备案信息,原侨居国
外办,华侨回国定居备案信息,定居证号码
外办,三侨生子女身份确认信息,报名地
外办,三侨生子女身份确认信息,毕业学校
外办,三侨生子女身份确认信息,户籍
外办,三侨生子女身份确认信息,加分项目
外办,三侨生子女身份确认信息,考生号
外办,三侨生子女身份确认信息,性别
外办,三侨生子女身份确认信息,序号
外办,三侨生子女身份确认信息,终审部门意见
外办,三侨生子女身份确认信息,姓名
住建,房屋租赁登记备案信息,备案时间
住建,房屋租赁登记备案信息,出租房屋坐落
住建,房屋租赁登记备案信息,房屋设计用途
住建,房屋租赁登记备案信息,房屋租赁用途
住建,房屋租赁登记备案信息,备案机关
住建,房屋租赁登记备案信息,承租人
住建,房屋租赁登记备案信息,承租人证件号码
住建,房屋租赁登记备案信息,承租人证件类型
住建,房屋租赁登记备案信息,出租人
住建,房屋租赁登记备案信息,出租人证件号码
住建,房屋租赁登记备案信息,出租人证件类型
住建,房屋租赁登记备案信息,状态
住建,房屋租赁登记备案信息,合同约定的租金数额
住建,房屋租赁登记备案信息,合同约定的租赁期限
住建,房屋租赁登记备案信息,备案号
法院,判决离婚信息,判决结果
法院,判决离婚信息,判决时间
法院,判决离婚信息,判决法院名称
法院,判决离婚信息,男方姓名
法院,判决离婚信息,男方身份证号码
法院,判决离婚信息,女方姓名
法院,判决离婚信息,女方身份证号码
法院,判决离婚信息,生效时间
法院,判决离婚信息,案号代码
民政,结离婚登记信息,女方出生日期
民政,结离婚登记信息,女方证件类型
民政,结离婚登记信息,女方身份证号码
民政,结离婚登记信息,女方姓名
民政,结离婚登记信息,女方国籍
民政,结离婚登记信息,男方出生日期
民政,结离婚登记信息,男方证件类型
民政,结离婚登记信息,男方身份证号码
民政,结离婚登记信息,男方姓名
民政,结离婚登记信息,男方国籍
民政,结离婚登记信息,登记日期
民政,结离婚登记信息,登记机关名称
民政,结离婚登记信息,登记类型
民政,结离婚登记信息,业务类型
民政,结离婚登记信息,登记字
民政,结离婚登记信息,登记号
民政,结离婚登记信息,结（离）婚证备注
公安,家庭关系信息,姓名
公安,家庭关系信息,公民身份证号
公安,家庭关系信息,配偶姓名
公安,家庭关系信息,配偶公民身份号码
公安,家庭关系信息,父亲姓名
公安,家庭关系信息,父亲公民身份号码
公安,家庭关系信息,母亲姓名
公安,家庭关系信息,母亲公民身份号码
公安,家庭关系信息,监护人一姓名
公安,家庭关系信息,监护人一公民身份号码
公安,家庭关系信息,监护人一监护关系
公安,家庭关系信息,监护人一联系电话
公安,家庭关系信息,监护人二姓名
公安,家庭关系信息,监护人二公民身份号码
公安,家庭关系信息,监护人二监护关系
公安,家庭关系信息,监护人二联系电话
教育,学前学生信息,班级名称
教育,学前学生信息,残疾类型
教育,学前学生信息,出生地
教育,学前学生信息,出生日期
教育,学前学生信息,港澳台侨外
教育,学前学生信息,国籍地区
教育,学前学生信息,个人标识码
教育,学前学生信息,户口所在地
教育,学前学生信息,就读状态
教育,学前学生信息,籍贯
教育,学前学生信息,监护人身份证件号
教育,学前学生信息,监护人姓名
教育,学前学生信息,家庭住址
教育,学前学生信息,民族
教育,学前学生信息,年级名称
教育,学前学生信息,入学年月
教育,学前学生信息,是否孤儿
教育,学前学生信息,是否进城务工人员随迁子女
教育,学前学生信息,是否留守儿童
教育,学前学生信息,是否外来务工人员子女
教育,学前学生信息,身份证件号
教育,学前学生信息,身份证件类型
教育,学前学生信息,是否在校
教育,学前学生信息,性别
教育,学前学生信息,姓名
教育,学前学生信息,学校标识码
教育,学前学生信息,学校名称
教育,学前学生信息,学校所属行政区划
教育,学前学生信息,英文姓名
教育,学前学生信息,全国学籍号
教育,中小学学生信息,姓名
教育,中小学学生信息,身份证号码
教育,中小学学生信息,全国学籍号
教育,中小学学生信息,就读学段
教育,中小学学生信息,就读状态
教育,中小学学生信息,区县
教育,中小学学生信息,学校
教育,中小学学生信息,年级
教育,中小学学生信息,班级
教育,中小学学生信息,性别
教育,中小学学生信息,入学年月
教育,中小学学生信息,学校标识码
教育,中小学学生信息,第一监护人姓名
教育,中小学学生信息,第二监护人姓名
教育,中职学生信息,班级名称
教育,中职学生信息,出生地
教育,中职学生信息,出生日期
教育,中职学生信息,港澳台侨外
教育,中职学生信息,国籍地区
教育,中职学生信息,个人标识码
教育,中职学生信息,户口所在地
教育,中职学生信息,就读状态
教育,中职学生信息,籍贯
教育,中职学生信息,家庭住址
教育,中职学生信息,民族
教育,中职学生信息,年级名称
教育,中职学生信息,入学方式
教育,中职学生信息,入学年月
教育,中职学生信息,是否进城务工人员随迁子女
教育,中职学生信息,身份证件号
教育,中职学生信息,身份证件类型
教育,中职学生信息,性别
教育,中职学生信息,姓名
