信息资源目录名称（必填项）,信息项名称,信息资源目录提供方
准予基金会注销登记决定书,业务主管单位,民政局
准予基金会注销登记决定书,业务范围,民政局
准予登记通知书,统一社会信用代码,行政审批局
准予登记通知书,名称,行政审批局
转递违法犯罪行为管辖地公安机关,举报对象,公安局
转递违法犯罪行为管辖地公安机关,具体行为,公安局
转递违法犯罪行为管辖地公安机关,产生后果,公安局
转递违法犯罪行为管辖地公安机关,回复结果（转递公安机关）,公安局
贮存危险废物超过一年的批准,危废量,生态环境局
贮存危险废物超过一年的批准,存放地址,生态环境局
贮存危险废物超过一年的批准,企业名称,生态环境局
注销外国人停留居留证件,个人信息,公安局
注销外国人停留居留证件,签发日期,公安局
注销外国人停留居留证件,有效期,公安局
注销决定书,医疗机构执业许可证注销,卫生健康委员会
注销决定或公告,企业名称,农业农村和水利局
注销决定或公告,统一社会信用代码,农业农村和水利局
注销决定或公告,法定代表人,农业农村和水利局
注销决定或公告,经办人,农业农村和水利局
注销决定或公告,联系电话,农业农村和水利局
注销决定或公告,地址,农业农村和水利局
注销决定或公告,邮政编码,农业农村和水利局
注销决定或公告,许可证编号,农业农村和水利局
注销决定或公告,注销事项,农业农村和水利局
注销决定或公告,注销原因,农业农村和水利局
注销决定或公告,申报材料,农业农村和水利局
注销决定或公告,申请人签名或盖章,农业农村和水利局
注销决定或公告,填表日期,农业农村和水利局
注销决定或公告,企业名称,农业农村和水利局
注销决定或公告,统一社会信用代码,农业农村和水利局
注销决定或公告,法定代表人,农业农村和水利局
注销决定或公告,经办人,农业农村和水利局
注销决定或公告,联系电话,农业农村和水利局
注销决定或公告,地址,农业农村和水利局
注销决定或公告,邮政编码,农业农村和水利局
注销决定或公告,许可证编号,农业农村和水利局
注销决定或公告,注销事项,农业农村和水利局
注销决定或公告,注销原因,农业农村和水利局
注销决定或公告,申报材料,农业农村和水利局
注销决定或公告,申请人签名或盖章,农业农村和水利局
注销决定或公告,填表日期,农业农村和水利局
注销登记申请书,单位名称,机构编制委员会办公室
注销登记申请书,法定代表人,机构编制委员会办公室
注销登记申请书,申请日期,机构编制委员会办公室
注销登记申请书,事业单位法人证书编号,机构编制委员会办公室
注销登记申请书,注销理由,机构编制委员会办公室
注销登记申请书,举办单位意见,机构编制委员会办公室
注销登记申请书,审批机关意见,机构编制委员会办公室
注销,名称,行政审批局
注销,经营地址,行政审批局
注销,法定代表人,行政审批局
注销,注册资本,行政审批局
注销,企业类型,行政审批局
注销,经营范围,行政审批局
注销,有效期,行政审批局
住宅专项维修资金使用申请表,物业区域名称,住房和城乡建设局
住宅专项维修资金使用申请表,物业服务单位（使用申请）单位名称,住房和城乡建设局
住宅专项维修资金使用申请表,维修资金使用内容,住房和城乡建设局
住宅专项维修资金使用申请表,物业区域名称,住房和城乡建设局
住宅专项维修资金使用申请表,物业服务单位（使用申请）单位名称,住房和城乡建设局
住宅专项维修资金使用申请表,维修资金使用内容,住房和城乡建设局
重度残疾人护理补贴政策解答,咨询,民政局
重大危险源备案登记表,申请单位名称,应急管理局
重大危险源备案登记表,申请单位地址,应急管理局
重大危险源备案登记表,申请单位法定代表人,应急管理局
重大危险源备案登记表,申请单位法定代表人联系电话,应急管理局
重大危险源备案登记表,申请单位委托代理人,应急管理局
重大危险源备案登记表,申请单位委托代理人联系电话,应急管理局
重大危险源备案登记表,申请事项基本情况,应急管理局
重大危险源备案登记表,报送材料序号,应急管理局
重大危险源备案登记表,报送材料名称,应急管理局
重大危险源备案登记表,报送材料份数,应急管理局
重大危险源备案登记表,报送材料原/复印件,应急管理局
重大危险源备案登记表,报送材料备注,应急管理局
重大危险源备案登记表,申请理由,应急管理局
重大危险源备案登记表,申请人,应急管理局
重大危险源备案登记表,申请时间,应急管理局
中医诊所备案证,机构名称,卫生健康委员会
中医诊所备案证,地址,卫生健康委员会
中医诊所备案证,法人,卫生健康委员会
中医诊所备案证,主要负责人,卫生健康委员会
中医诊所备案证,备案编号,卫生健康委员会
中医诊所备案证,备案机关,卫生健康委员会
中医诊所备案证,备案日期,卫生健康委员会
中华人民共和国医师执业证书,医师执业注册（首次注册、重新注册）,卫生健康委员会
中华人民共和国医师执业证书,姓名,卫生健康委员会
中华人民共和国医师执业证书,身份证号码,卫生健康委员会
中华人民共和国医师执业证书,发证机关,卫生健康委员会
中华人民共和国医师执业证书,发证日期,卫生健康委员会
中华人民共和国医师执业证书,姓名,卫生健康委员会
中华人民共和国医师执业证书,身份证号码,卫生健康委员会
中华人民共和国医师执业证书,发证机关,卫生健康委员会
中华人民共和国医师执业证书,发证日期,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构注册登记,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构变更登记,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构执业许可证补发,卫生健康委员会
中华人民共和国医疗机构执业许可证,名称,卫生健康委员会
中华人民共和国医疗机构执业许可证,地址,卫生健康委员会
中华人民共和国医疗机构执业许可证,邮编,卫生健康委员会
中华人民共和国医疗机构执业许可证,所有制形式,卫生健康委员会
中华人民共和国医疗机构执业许可证,医疗机构类别,卫生健康委员会
中华人民共和国医疗机构执业许可证,登记号,卫生健康委员会
中华人民共和国医疗机构执业许可证,发证机关,卫生健康委员会
中华人民共和国医疗机构执业许可证,机构名称,卫生健康委员会
中华人民共和国医疗机构执业许可证,地址,卫生健康委员会
中华人民共和国医疗机构执业许可证,邮编,卫生健康委员会
中华人民共和国医疗机构执业许可证,机构类别,卫生健康委员会
中华人民共和国医疗机构执业许可证,登记号,卫生健康委员会
中华人民共和国医疗机构执业许可证,发证机关,卫生健康委员会
中华人民共和国医疗机构执业许可证,校验日期,卫生健康委员会
中华人民共和国医疗机构执业许可证,检验结果,卫生健康委员会
中华人民共和国医疗机构执业许可证,机构名称,卫生健康委员会
中华人民共和国医疗机构执业许可证,地址,卫生健康委员会
中华人民共和国医疗机构执业许可证,邮编,卫生健康委员会
中华人民共和国医疗机构执业许可证,机构类别,卫生健康委员会
中华人民共和国医疗机构执业许可证,登记号,卫生健康委员会
中华人民共和国医疗机构执业许可证,发证机关,卫生健康委员会
中华人民共和国离婚证,持证人,民政局
中华人民共和国离婚证,登记日期,民政局
中华人民共和国离婚证,离婚证字号,民政局
中华人民共和国离婚证,备注,民政局
中华人民共和国离婚证,姓名,民政局
中华人民共和国离婚证,性别,民政局
中华人民共和国离婚证,国籍,民政局
中华人民共和国离婚证,出生日期,民政局
中华人民共和国离婚证,身份证件号,民政局
中华人民共和国结婚证,持证人,民政局
中华人民共和国结婚证,登记日期,民政局
中华人民共和国结婚证,结婚证字号,民政局
中华人民共和国结婚证,姓名,民政局
中华人民共和国结婚证,性别,民政局
中华人民共和国结婚证,国籍,民政局
中华人民共和国结婚证,出生日期,民政局
中华人民共和国结婚证,身份证件号,民政局
中华人民共和国护士执业证书,护士执业注册,卫生健康委员会
中华人民共和国护士执业证书,护士执业变更注册,卫生健康委员会
中华人民共和国护士执业证书,护士执业延续注册,卫生健康委员会
中华人民共和国护士执业证书,护士执业证书遗失补办,卫生健康委员会
中华人民共和国护士执业证书,护士执业注销注册,卫生健康委员会
中华人民共和国护士执业证书,护士执业重新注册,卫生健康委员会
中华人民共和国护士执业证书,姓名,卫生健康委员会
中华人民共和国护士执业证书,身份证号码,卫生健康委员会
中华人民共和国护士执业证书,发证单位,卫生健康委员会
中华人民共和国护士执业证书,发证日期,卫生健康委员会
中华人民共和国护士执业证书,姓名,卫生健康委员会
中华人民共和国护士执业证书,身份证号码,卫生健康委员会
中华人民共和国护士执业证书,发证单位,卫生健康委员会
中华人民共和国护士执业证书,发证日期,卫生健康委员会
中华人民共和国护士执业证书,姓名,卫生健康委员会
中华人民共和国护士执业证书,身份证号码,卫生健康委员会
中华人民共和国护士执业证书,发证单位,卫生健康委员会
中华人民共和国护士执业证书,发证日期,卫生健康委员会
中华人民共和国护士执业证书,姓名,卫生健康委员会
中华人民共和国护士执业证书,身份证号码,卫生健康委员会
中华人民共和国护士执业证书,注销机关,卫生健康委员会
中华人民共和国护士执业证书,注销时间,卫生健康委员会
中华人民共和国护士执业证书,姓名,卫生健康委员会
中华人民共和国护士执业证书,身份证号码,卫生健康委员会
中华人民共和国护士执业证书,发证单位,卫生健康委员会
中华人民共和国护士执业证书,发证日期,卫生健康委员会
中华人民共和国出入境通行证,个人信息,公安局
中华人民共和国出入境通行证,签发日期,公安局
中华人民共和国出入境通行证,有效期,公安局
治安突发事件处置预案备案,突发事件类型,公安局
治安突发事件处置预案备案,应对手段,公安局
治安突发事件处置预案备案,硬件要求,公安局
治安突发事件处置预案备案,人员要求,公安局
治安保卫重点单位治安保卫机构的设置备案,机构设置,公安局
治安保卫重点单位治安保卫机构的设置备案,人员配备,公安局
治安保卫重点单位治安保卫机构的设置备案,变更情况,公安局
制定年度退役士兵接收安置计划,年度符合政府安排工作条件退役士兵人数,退役军人事务局
植物检疫证书,林业植物检疫证书核发,自然资源和规划局
政府信息公开申请答复书,政府信息公开申请答复书,市政和绿化管理局
政府采购供应商投诉处理决定书,政府采购供应商投诉处理决定书,财政局
政策信息,慈善事业发展政策咨询,民政局
政策答疑,社会工作政策咨询,民政局
政策答疑,养老服务扶持政策措施清单发布,民政局
政策答疑,志愿服务政策咨询,民政局
证明,证明名称,公安局
证明,证明对象,公安局
证明,证明内容,公安局
责令社区康复通知书,人员信息,公安局
责令社区康复通知书,解除强制隔离戒毒决定,公安局
责令社区康复通知书,执行地点,公安局
责令社区康复通知书,执行期限,公安局
责令社区康复通知书,执行方式,公安局
责令社区戒毒通知书,人员信息,公安局
责令社区戒毒通知书,吸毒成瘾认定书,公安局
责令社区戒毒通知书,执行地点,公安局
责令社区戒毒通知书,执行方式,公安局
责令社区戒毒通知书,执行期限,公安局
在线告知已予备案或者补正告知书,单位信息,公安局
在线告知已予备案或者补正告知书,民用爆炸物品种及数量,公安局
在线告知已予备案或者补正告知书,进出口时间,公安局
在线告知已予备案或者补正告知书,爆炸物品用途,公安局
在“全国民用爆炸物品信息管理系统”中审核通过,企业名称,公安局
在“全国民用爆炸物品信息管理系统”中审核通过,企业法人,公安局
在“全国民用爆炸物品信息管理系统”中审核通过,民用爆炸物品种类,公安局
在“全国民用爆炸物品信息管理系统”中审核通过,企业名称,公安局
在“全国民用爆炸物品信息管理系统”中审核通过,企业法人,公安局
在“全国民用爆炸物品信息管理系统”中审核通过,销售民用爆炸物品种类及数量,公安局
在“全国民用爆炸物品信息管理系统”中签收,项目名称,公安局
在“全国民用爆炸物品信息管理系统”中签收,项目时间地点信息,公安局
在“全国民用爆炸物品信息管理系统”中签收,爆破项目实施细节,公安局
在“全国民用爆炸物品信息管理系统”中签收,实施爆破单位,公安局
允许自行实施义务教育告知书,文艺、体育等专业训练的社会组织自行实施义务教育审批,教育体育局
园林绿化工程竣工验收备案表,项目配套绿化工程竣工验收备案通知书,市政和绿化管理局
预约成功，请到预约受理点办理相关业务,申请人信息,公安局
预约成功，请到预约受理点办理相关业务,办理业务事项,公安局
预约成功，请到预约受理点办理相关业务,预约码,公安局
娱乐经营许可证,单位名称,文化和旅游局
娱乐经营许可证,地址,文化和旅游局
娱乐经营许可证,法定代表人/主要负责人,文化和旅游局
娱乐经营许可证,单位类型,文化和旅游局
娱乐经营许可证,单位类别,文化和旅游局
娱乐经营许可证,使用面积,文化和旅游局
娱乐经营许可证,有效期,文化和旅游局
娱乐经营许可证,经营范围,文化和旅游局
娱乐经营许可证,单位名称,文化和旅游局
娱乐经营许可证,地址,文化和旅游局
娱乐经营许可证,法定代表人/主要负责人,文化和旅游局
娱乐经营许可证,单位类型,文化和旅游局
娱乐经营许可证,单位类别,文化和旅游局
娱乐经营许可证,使用面积,文化和旅游局
娱乐经营许可证,有效期,文化和旅游局
娱乐经营许可证,经营范围,文化和旅游局
娱乐经营许可证,编号,文化和旅游局
娱乐经营许可证,发证机关,文化和旅游局
娱乐经营许可证,单位名称,文化和旅游局
娱乐经营许可证,地址,文化和旅游局
娱乐经营许可证,法定代表人/主要负责人,文化和旅游局
娱乐经营许可证,单位类型,文化和旅游局
娱乐经营许可证,单位类别,文化和旅游局
娱乐经营许可证,作用面积,文化和旅游局
娱乐经营许可证,有效期,文化和旅游局
娱乐经营许可证,经营范围,文化和旅游局
娱乐经营许可证,单位名称,文化和旅游局
娱乐经营许可证,地址,文化和旅游局
娱乐经营许可证,法定代表人/主要负责人,文化和旅游局
娱乐经营许可证,单位类型,文化和旅游局
娱乐经营许可证,单位类别,文化和旅游局
娱乐经营许可证,使用面积,文化和旅游局
娱乐经营许可证,有效期,文化和旅游局
娱乐经营许可证,经营范围,文化和旅游局
娱乐经营许可证,单位名称,文化和旅游局
娱乐经营许可证,地址,文化和旅游局
娱乐经营许可证,法定代表人/主要负责人,文化和旅游局
娱乐经营许可证,单位类型,文化和旅游局
娱乐经营许可证,单位类别,文化和旅游局
娱乐经营许可证,使用面积,文化和旅游局
娱乐经营许可证,有效期,文化和旅游局
娱乐经营许可证,经营范围,文化和旅游局
娱乐经营许可证,单位名称,文化和旅游局
娱乐经营许可证,地址,文化和旅游局
娱乐经营许可证,法定代表人/主要负责人,文化和旅游局
娱乐经营许可证,单位类型,文化和旅游局
娱乐经营许可证,单位类别,文化和旅游局
娱乐经营许可证,使用面积,文化和旅游局
娱乐经营许可证,有效期,文化和旅游局
娱乐经营许可证,经营范围,文化和旅游局
营业执照,统一社会信用代码,行政审批局
营业执照,名称,行政审批局
营业执照,经营范围,行政审批局
营业执照,住所,行政审批局
营业执照,法定代表人,行政审批局
营业执照,注册资本,行政审批局
营业执照,字号名称,市场监督管理局（知识产权局）
营业执照,经营者姓名,市场监督管理局（知识产权局）
营业执照,经营场所,市场监督管理局（知识产权局）
营业执照,经营范围,市场监督管理局（知识产权局）
营业执照,组成形式,市场监督管理局（知识产权局）
营业执照,注册日期,市场监督管理局（知识产权局）
营业执照,统一社会信用代码,市场监督管理局（知识产权局）
营业执照,名称,市场监督管理局（知识产权局）
营业执照,经营者,市场监督管理局（知识产权局）
营业执照,经营范围,市场监督管理局（知识产权局）
营业执照,组成形式,市场监督管理局（知识产权局）
营业执照,注册日期,市场监督管理局（知识产权局）
营业执照,经营场所,市场监督管理局（知识产权局）
营业执照,统一社会信用代码,市场监督管理局（知识产权局）
营业性演出准予许可决定,演出名称,文化和旅游局
营业性演出准予许可决定,举办单位/个人,文化和旅游局
营业性演出准予许可决定,主要演员,文化和旅游局
营业性演出准予许可决定,演出日期,文化和旅游局
营业性演出准予许可决定,演出场所,文化和旅游局
营业性演出准予许可决定,演出剧目,文化和旅游局
营业性演出准予许可决定,联系人,文化和旅游局
营业性演出准予许可决定,联系电话,文化和旅游局
营业性演出许可证,单位名称,文化和旅游局
营业性演出许可证,经营地址,文化和旅游局
营业性演出许可证,法定代表人/主要负责人,文化和旅游局
营业性演出许可证,经营类型,文化和旅游局
营业性演出许可证,经营范围,文化和旅游局
异议审查通知,申请人姓名,司法局
异议审查通知,申请事由,司法局
艺术品经营单位备案证明,单位名称,文化和旅游局
艺术品经营单位备案证明,经营类型,文化和旅游局
艺术品经营单位备案证明,法定代表人/主要负责人,文化和旅游局
艺术品经营单位备案证明,经营地址,文化和旅游局
艺术品经营单位备案证明,经营范围,文化和旅游局
演出场所经营单位备案证明,单位名称,文化和旅游局
演出场所经营单位备案证明,地址,文化和旅游局
演出场所经营单位备案证明,法定代表人/主要负责人,文化和旅游局
演出场所经营单位备案证明,单位类型,文化和旅游局
演出场所经营单位备案证明,使用面积,文化和旅游局
演出场所经营单位备案证明,经营范围,文化和旅游局
烟花爆竹经营许可证（零售）,单位名称,行政审批局
烟花爆竹经营许可证（零售）,主要负责人,行政审批局
烟花爆竹经营许可证（零售）,经营场所地址,行政审批局
烟花爆竹经营许可证（零售）,经济类型,行政审批局
烟花爆竹经营许可证（零售）,许可经营范围,行政审批局
烟花爆竹经营许可证（零售）,限制存放量,行政审批局
烟花爆竹经营许可证（零售）,有效期,行政审批局
烟花爆竹道路运输许可证,承运人信息,公安局
烟花爆竹道路运输许可证,驾驶员信息,公安局
烟花爆竹道路运输许可证,烟花爆竹种类及数量,公安局
烟花爆竹道路运输许可证,运输车辆信息,公安局
烟花爆竹道路运输许可证,行驶路线,公安局
许可决定书,申请法人信息,公安局
许可决定书,大型活动时间及地点,公安局
许可决定书,大型活动安保方案,公安局
许可决定,申请人信息,公安局
许可决定,申请游行示威等方式,公安局
许可决定,时间,公安局
许可决定,地点,公安局
许可决定,负责人信息,公安局
行政许可决定书。,名称,民族宗教事务局
行政许可决定书。,类别,民族宗教事务局
行政许可决定书。,地址,民族宗教事务局
行政许可决定书。,负责人,民族宗教事务局
行政许可决定书。,名称,民族宗教事务局
行政许可决定书。,法人姓名,民族宗教事务局
行政许可决定书。,法人身份证信息,民族宗教事务局
行政许可决定书。,名称,民族宗教事务局
行政许可决定书。,法人姓名,民族宗教事务局
行政许可决定书。,法人身份信息,民族宗教事务局
行政许可决定书。,名称,民族宗教事务局
行政许可决定书。,法人姓名,民族宗教事务局
行政许可决定书。,法人身份信息,民族宗教事务局
行政许可决定书,江苏省重点保护陆生野生动物及其产品经营利用许可,自然资源和规划局
行政许可决定书,名称,民族宗教事务局
行政许可决定书,类别,民族宗教事务局
行政许可决定书,地址,民族宗教事务局
行政许可决定书,负责人,民族宗教事务局
行政许可决定书,名称,民族宗教事务局
行政许可决定书,类别,民族宗教事务局
行政许可决定书,地址,民族宗教事务局
行政许可决定书,负责人,民族宗教事务局
行政许可决定书,名称,民族宗教事务局
行政许可决定书,类别,民族宗教事务局
行政许可决定书,地址,民族宗教事务局
行政许可决定书,负责人,民族宗教事务局
行政许可决定书,名称,民族宗教事务局
行政许可决定书,类别,民族宗教事务局
行政许可决定书,地址,民族宗教事务局
行政许可决定书,负责人,民族宗教事务局
行政许可决定书,标题,农业农村和水利局
行政许可决定书,正文,农业农村和水利局
行政许可决定书,许可单位,农业农村和水利局
行政许可决定书,标题,农业农村和水利局
行政许可决定书,正文,农业农村和水利局
行政许可决定书,许可单位,农业农村和水利局
行政许可决定书,标题,农业农村和水利局
行政许可决定书,正文,农业农村和水利局
行政许可决定书,许可单位,农业农村和水利局
行政许可决定书,标题,农业农村和水利局
行政许可决定书,正文,农业农村和水利局
行政许可决定书,许可单位,农业农村和水利局
行政许可决定书,日期,农业农村和水利局
行政处理决定书,投诉人姓名,人力资源和社会保障局
行政处理决定书,投诉人性别,人力资源和社会保障局
行政处理决定书,投诉人手机号码,人力资源和社会保障局
行政处理决定书,投诉人身份证号,人力资源和社会保障局
行政处理决定书,投诉人固定电话,人力资源和社会保障局
行政处理决定书,投诉人邮编,人力资源和社会保障局
行政处理决定书,被投诉人姓名,人力资源和社会保障局
行政处理决定书,被投诉人注册地址,人力资源和社会保障局
行政处理决定书,被投诉人实际经营地址,人力资源和社会保障局
行政处理决定书,被投诉人法定代表人姓名,人力资源和社会保障局
行政处理决定书,被投诉人职务,人力资源和社会保障局
行政处理决定书,被投诉人联系电话,人力资源和社会保障局
行政处理决定书,被投诉人邮编,人力资源和社会保障局
行政处理决定书,请求事项,人力资源和社会保障局
行政处理决定书,事由与理由,人力资源和社会保障局
行政处理决定书,说明,人力资源和社会保障局
行政处理决定书,日期,人力资源和社会保障局
信息发布及组织实施,姓名,文化和旅游局
信息发布及组织实施,作品名称,文化和旅游局
信息发布及组织实施,联系方式,文化和旅游局
新建物业承接查验备案申请表,物业地址,住房和城乡建设局
新建物业承接查验备案申请表,项目竣工时间,住房和城乡建设局
新建物业承接查验备案申请表,物业查验时间,住房和城乡建设局
新建物业承接查验备案申请表,交接时间,住房和城乡建设局
新建物业承接查验备案申请表,本期物业范围,住房和城乡建设局
新建物业承接查验备案申请表,建设单位,住房和城乡建设局
新建物业承接查验备案申请表,物业服务企业名称,住房和城乡建设局
新建物业承接查验备案申请表,企业负责人,住房和城乡建设局
新建物业承接查验备案申请表,企业负责人联系电话,住房和城乡建设局
新建物业承接查验备案申请表,项目负责人,住房和城乡建设局
新建物业承接查验备案申请表,项目负责人联系电话,住房和城乡建设局
新建物业承接查验备案申请表,物业地址,住房和城乡建设局
新建物业承接查验备案申请表,项目竣工时间,住房和城乡建设局
新建物业承接查验备案申请表,物业查验时间,住房和城乡建设局
新建物业承接查验备案申请表,交接时间,住房和城乡建设局
新建物业承接查验备案申请表,本期物业范围,住房和城乡建设局
新建物业承接查验备案申请表,建设单位,住房和城乡建设局
新建物业承接查验备案申请表,物业服务企业名称,住房和城乡建设局
新建物业承接查验备案申请表,企业负责人,住房和城乡建设局
新建物业承接查验备案申请表,企业负责人联系电话,住房和城乡建设局
新建物业承接查验备案申请表,项目负责人,住房和城乡建设局
新建物业承接查验备案申请表,项目负责人联系电话,住房和城乡建设局
协议选聘物业管理单位申报表,开发单位名称,住房和城乡建设局
协议选聘物业管理单位申报表,组织机构代码,住房和城乡建设局
协议选聘物业管理单位申报表,详细地址,住房和城乡建设局
协议选聘物业管理单位申报表,邮政编码,住房和城乡建设局
协议选聘物业管理单位申报表,注册资金,住房和城乡建设局
协议选聘物业管理单位申报表,企业类型,住房和城乡建设局
协议选聘物业管理单位申报表,法人代表,住房和城乡建设局
协议选聘物业管理单位申报表,单位电话,住房和城乡建设局
协议选聘物业管理单位申报表,传真,住房和城乡建设局
协议选聘物业管理单位申报表,邮箱,住房和城乡建设局
协议选聘物业管理单位申报表,经办人姓名,住房和城乡建设局
协议选聘物业管理单位申报表,经办人电话,住房和城乡建设局
协议选聘物业管理单位申报表,身份证号码,住房和城乡建设局
协议选聘物业管理单位申报表,物业区域名称,住房和城乡建设局
协议选聘物业管理单位申报表,规划总建筑面积,住房和城乡建设局
享受最低生活保障,户主姓名,民政局
享受最低生活保障,发放日期,民政局
享受最低生活保障,发放金额,民政局
享受临时救助,姓名,民政局
享受临时救助,发放日期,民政局
享受临时救助,发放金额,民政局
乡村医师资格证书,姓名,卫生健康委员会
乡村医师资格证书,身份证号码,卫生健康委员会
乡村医师资格证书,发证单位,卫生健康委员会
乡村医师资格证书,发证日期,卫生健康委员会
限期治理决定书,企业名称,生态环境局
限期治理决定书,日期,生态环境局
限期治理决定书,整改时间,生态环境局
现场检测报告书,人员信息,公安局
现场检测报告书,检测方式,公安局
现场检测报告书,检测结果,公安局
先进集体证书、先进个人证书,表彰名单,司法局
先进集体和先进个人证书,集体名称（或姓名）,教育体育局
先进集体和先进个人证书,奖励名称,教育体育局
吸毒成瘾认定报告,人员信息,公安局
吸毒成瘾认定报告,检测方式,公安局
吸毒成瘾认定报告,检测结果,公安局
物业管理招投标中标备案表,中标单位,住房和城乡建设局
物业管理招投标招标备案表,招标人名称,住房和城乡建设局
物业管理招投标招标备案表,法定代表人,住房和城乡建设局
物业管理招投标招标备案表,联系人,住房和城乡建设局
物业管理招投标招标备案表,办公地点,住房和城乡建设局
物业管理招投标招标备案表,联系电话,住房和城乡建设局
物业管理招投标招标备案表,项目名称,住房和城乡建设局
物业管理招投标招标备案表,项目地点,住房和城乡建设局
物业管理招投标招标备案表,相关配套用房面积及位置,住房和城乡建设局
物业管理招投标招标备案表,物业类型,住房和城乡建设局
物业管理招投标招标备案表,占地面积,住房和城乡建设局
物业管理招投标招标备案表,总建筑面积(含地上、地下）,住房和城乡建设局
物业管理招投标招标备案表,建设用地规划许可证编号,住房和城乡建设局
物业管理招投标招标备案表,建设工程规划许可证编号,住房和城乡建设局
物业管理区域备案表,物业管理区域名称,住房和城乡建设局
物业管理区域备案表,所在辖区,住房和城乡建设局
物业管理区域备案表,所在街道,住房和城乡建设局
物业管理区域备案表,所在社区居民委员会,住房和城乡建设局
物业管理区域备案表,申请人,住房和城乡建设局
物业管理区域备案表,通信地址,住房和城乡建设局
物业管理区域备案表,联系人,住房和城乡建设局
物业管理区域备案表,联系电话,住房和城乡建设局
物业管理区域备案表,座落位置,住房和城乡建设局
物业管理区域备案表,总占地面积,住房和城乡建设局
物业管理区域备案表,物业类型,住房和城乡建设局
物业管理区域备案表,总建筑面积,住房和城乡建设局
物业管理区域备案表,总套数,住房和城乡建设局
物业管理区域备案表,住宅建筑面积,住房和城乡建设局
物业管理区域备案表,非住宅建筑面积,住房和城乡建设局
物业管理区域备案表,容积率,住房和城乡建设局
物业管理区域备案表,绿化率,住房和城乡建设局
物业管理区域备案表,物业管理用房具体座落,住房和城乡建设局
物业管理区域备案表,物业管理用房建筑面积,住房和城乡建设局
文物保护单位保护范围的划定、标志说明和记录档案批文,基本信息,文化和旅游局
文件,姓名,工业和信息化局
文件,联系方式,工业和信息化局
文件,单位名称,工业和信息化局
文件,文号,工业和信息化局
文件,事项内容,工业和信息化局
卫生许可证,单位名称,卫生健康委员会
卫生许可证,法定代表人,卫生健康委员会
卫生许可证,经营地址,卫生健康委员会
卫生许可证,经营项目,卫生健康委员会
卫生许可证,有效期限,卫生健康委员会
卫生许可证,单位名称,卫生健康委员会
卫生许可证,法定代表人,卫生健康委员会
卫生许可证,经营地址,卫生健康委员会
卫生许可证,经营项目,卫生健康委员会
卫生许可证,有效期限,卫生健康委员会
卫生许可证,单位名称,卫生健康委员会
卫生许可证,法定代表人,卫生健康委员会
卫生许可证,经营地址,卫生健康委员会
卫生许可证,经营项目,卫生健康委员会
卫生许可证,有效期限,卫生健康委员会
卫生许可证,单位名称,卫生健康委员会
卫生许可证,法定代表人,卫生健康委员会
卫生许可证,经营地址,卫生健康委员会
卫生许可证,经营项目,卫生健康委员会
卫生许可证,有效期限,卫生健康委员会
卫生许可证,单位名称,卫生健康委员会
卫生许可证,法定代表人,卫生健康委员会
卫生许可证,经营地址,卫生健康委员会
卫生许可证,经营项目,卫生健康委员会
卫生许可证,有效期限,卫生健康委员会
危险化学品经营许可证,企业名称,行政审批局
